1,see ,～に会う,入門編
2,like ,～が好きである/～を好む,入門編
3,have ,～を持っている/～を所有している/～がある/～を飼っている,入門編
4,play ,(スポーツ・ゲームなど)～をする/～ごっこをする,入門編
5,come,来る/やってくる,入門編
6,go,行く,入門編
7,look,(注意して・意識的に)見る,入門編
8,want ,～がほしい/～をほしがる,入門編
9,can,～することができる/～できる,入門編
10,use ,～を使う/～を利用する,入門編
11,make ,～を作る,入門編
12,talk,話す/しゃべる,入門編
13,learn ,～を学ぶ/～を覚える/～を知る,入門編
14,say ,～と言う/～を言う/(本などに)～と書いている,入門編
15,think ,～だと思う/～と考える,入門編
16,do ,～をする,入門編
17,tell ,～に言う/～に話す/～に知らせる/～を話す/～を言う,入門編
18,know ,～を知っている/～と知り合いである,入門編
19,study ,～を勉強する,入門編
20,eat ,～を食べる,入門編
21,enjoy ,～を楽しむ,入門編
22,enjoy ,～を楽しむ,入門編
23,help ,～を手伝う/～を助ける/～の役に立つ,入門編
24,get ,～を得る/～を手に入れる/～を買う/～を取ってくる,入門編
25,read ,を読む,入門編
26,write ,～を書く,入門編
27,work,働く/勤めている,入門編
28,visit ,(場所など)～を訪れる/(人など)～を訪ねる/～を訪問する,入門編
29,ask,たずねる/問う,入門編
30,become C,Cになる,入門編
31,give ,～を渡す/～を与える/～をあげる,入門編
32,hear ,(自然に耳に入ってくる音に対して)～を聞く/～が聞こえる,入門編
33,wish,したいと思う/強く望む/願う,入門編
34,show ,～を見せる/～を示す,入門編
35,be,～です。/～だ/～である/(助動詞の後ろなどでつかう),入門編
36,take ,(手で)～を取る/～をつかむ,入門編
37,start,始まる,入門編
38,meet ,～に会う/～と知り合いになる,入門編
39,watch ,(テレビや映画など動くものなど)～を見る,入門編
40,join ,～に加わる/～に参加する/～の仲間に入る,入門編
41,teach ,～を教える,入門編
42,clean ,～を掃除する/～をきれいにする,入門編
43,run,走る,入門編
44,buy ,～を買う,入門編
45,mean ,～の意味である/～を意味する,入門編
46,love ,～が大好きである/～を愛している,入門編
47,stay,とどまる/滞在する/泊まる/いる,入門編
48,need ,～を必要とする/～が必要である/～する必要がある,入門編
49,call ,～に電話をかける/(電話で)～を呼び出す,入門編
50,walk,歩く,入門編
51,keep ,～を保つ/～を保存する/～を保管する/～を保持する,入門編
52,speak ,(言語など)～を話す,入門編
53,hope ,～を望む/～と望む/～を希望する/～を期待する,入門編
54,change ,～を変える,入門編
55,feel C,Cと感じる/Cの感じがする/Cの心地がする,入門編
56,cook ,(加熱して)～を料理する,入門編
57,live,住んでいる/住む/生活する/暮らす,入門編
58,wear ,～を身に着けている/～を着ている,入門編
59,drink ,～を飲む,入門編
60,dance,踊る/ダンスをする,入門編
61,open ,～をあける/～を開く,入門編
62,send ,～を送る/～を送信する/(手紙など)～を出す,入門編
63,sleep,眠る/寝る,入門編
64,happen,起こる/生じる,入門編
65,bring ,(物など)～を持ってくる/～を連れてくる,入門編
66,worry,心配する,入門編
67,wait,待つ,入門編
68,choose ,～を選ぶ,入門編
69,travel,旅行する/旅をする,入門編
70,save ,～を救う/～を助ける/～を守る,入門編
71,put ,～を置く,入門編
72,win ,～に勝つ/～を勝ち取る/～を獲得する,入門編
73,sing ,～を歌う,入門編
74,stop,やめる/止める/止まる/停止する,入門編
75,catch ,～をつかまえる/～を捕る/～を捕らえる,入門編
76,turn,向きを変える/曲がる,入門編
77,find ,～を見つける/～を探し出す,入門編
78,cut ,～を切る/～を切断する/～の供給を止める,入門編
79,touch ,～をさわる/～に触れる,入門編
80,check ,～を確認する/～を調べる/～をチェックする,入門編
81,build ,～を建てる/～を造る/(機械類など)～を組み立てる,入門編
82,sell ,～を売る/～を売っている,入門編
83,finish ,～を終わらせる/～を終える,入門編
84,perform ,～を演じる,入門編
85,drop ,～を落とす,入門編
86,ski,スキーをする,入門編
87,relax,くつろぐ/リラックスする,入門編
88,leave,出発する/去る,入門編
89,cannot,～できない,入門編
90,fall,倒れる/落ちる,入門編
91,thank ,～に感謝する/～をありがたいと思う,入門編
92,wash ,～を洗う,入門編
93,draw ,(絵)～を描く,入門編
94,swim,泳ぐ,入門編
95,fly,飛ぶ,入門編
96,jump,はねる/とぶ/とび越える,入門編
97,stand,立つ/立っている/(場所に)建つ/ある,入門編
98,close ,～を閉じる/～を閉める,入門編
99,ride ,～に乗る/(馬や自転車など)～に乗って行く,入門編
100,skate,スケートをする/スケートですべる,入門編
101,pick ,～を取る/～をつまみ取る/～を摘む/～を摘み取る,入門編
102,am,～です。/～だ/～である/(Iが主語のときにつかう),入門編
103,are,～です。/～だ/～である/(y～uやweなどが主語のときにつかう),入門編
104,does,d～の3人称単数現在形,入門編
105,has,haveの三人称単数現在形,入門編
106,is,～です。/～だ/～である/(thisやheなどが主語のときにつかう),入門編
107,he,彼は(が),入門編
108,her,彼女を(に)/彼女の,入門編
109,hers,彼女のもの,入門編
110,him,彼を［に］,入門編
111,his,彼の,入門編
112,I,私は(が),入門編
113,it,それは/それを/それに/(代名詞の主格・目的格として使われる),入門編
114,its,それの/その,入門編
115,me,私を［に］,入門編
116,mine,私のもの,入門編
117,my,私の,入門編
118,our,私たちの,入門編
119,ours,私たちのもの,入門編
120,she,彼女は［が］,入門編
121,their,彼らの/彼女らの/それらの,入門編
122,theirs,彼らのもの/彼女らのもの/それらのもの,入門編
123,them,彼ら［彼女ら/それら］を［に］,入門編
124,they,彼らは［が］/彼女らは［が］/それらは［が］,入門編
125,us,私たちを［に］,入門編
126,we,私たちは［が］,入門編
127,you,あなたは/あなたたちは,入門編
128,your,あなたの/あなたたちの,入門編
129,yours,あなたのもの/あなたたちのもの,入門編
130,zero,0,入門編
131,one,1,入門編
132,two,2,入門編
133,three,3,入門編
134,four,4,入門編
135,five,5,入門編
136,six,6,入門編
137,seven,7,入門編
138,eight,8,入門編
139,nine,9,入門編
140,ten,10,入門編
141,eleven,11,入門編
142,twelve,12,入門編
143,thirteen,13,入門編
144,fourteen,14,入門編
145,fifteen,15,入門編
146,sixteen,16,入門編
147,seventeen,17,入門編
148,eighteen,18,入門編
149,nineteen,19,入門編
150,twenty,20,入門編
151,thirty,30,入門編
152,forty,40,入門編
153,fifty,50,入門編
154,sixty,60,入門編
155,seventy,70,入門編
156,eighty,80,入門編
157,ninety,90,入門編
158,hundred,100/百を表す記号,入門編
159,thousand,1000/千を表す記号,入門編
160,twenty-one,21,入門編
161,third,3番目/3日,入門編
162,fourth,4番目/4日,入門編
163,fifth,5番目/5日,入門編
164,sixth,6番目/6日,入門編
165,seventh,7番目/7日,入門編
166,eighth,8番目/8日,入門編
167,ninth,9番目/9日,入門編
168,tenth,10番目/10日,入門編
169,eleventh,11番目/11日,入門編
170,twelfth,12番目/12日,入門編
171,thirteenth,13番目/13日,入門編
172,twentieth,20番目/20日,入門編
173,first,1番目/1日,入門編
174,fourteenth,14日,入門編
175,fifteenth,15日,入門編
176,nineteenth,19日/19番目,入門編
177,eighteenth,18日/18番め,入門編
178,seventeenth,17日/17番め,入門編
179,sixteenth,16日/16番め,入門編
180,thirtieth,30番目/30日,入門編
181,twenty-first,21日/21番目,入門編
182,twenty-eighth,28日/28番め,入門編
183,twenty-fifth,25日/25番め,入門編
184,twenty-fourth,24日/24番め,入門編
185,twenty-ninth,29日/29番め,入門編
186,twenty-second,22日/22番め,入門編
187,twenty-seventh,27日/27番め,入門編
188,twenty-sixth,26日/26番め,入門編
189,twenty-third,23日/23番め,入門編
190,January,1月,入門編
191,February,2月,入門編
192,March,3月,入門編
193,April,4月,入門編
194,May,5月,入門編
195,June,6月,入門編
196,July,7月,入門編
197,August,8月,入門編
198,September,9月,入門編
199,October,10月,入門編
200,November,11月,入門編
201,December,12月,入門編
202,Sunday,日曜日,入門編
203,Monday,月曜日,入門編
204,Tuesday,火曜日,入門編
205,Wednesday,水曜日,入門編
206,Thursday,木曜日,入門編
207,Friday,金曜日,入門編
208,Saturday,土曜日,入門編
209,winter,冬,入門編
210,spring,春,入門編
211,summer,夏,入門編
212,fall,秋,入門編
213,autumn,秋,入門編
214,hand,手,入門編
215,face,顔,入門編
216,foot,足/(くるぶしから下の部分),入門編
217,head,頭,入門編
218,neck,首,入門編
219,arm,腕,入門編
220,leg,あし(ももの付け根から下部分/あるいは足首まで)/(家具の)脚,入門編
221,eye,目,入門編
222,ear,耳,入門編
223,nose,鼻,入門編
224,mouth,口,入門編
225,nail,つめ(爪),入門編
